Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1938,The Lady Vanishes,13.726,646,popular,Thriller
2017,Spielberg,13.723,210,popular,Documentary
2017,Spielberg,13.723,210,popular,TV Movie
2017,Confidential Assignment,13.723,62,average,Action
1992,The Oil-Hell Murder,13.723,4,not_popular,Drama
2017,Cómo Filmar Una XXX,13.722,15,not_popular,Comedy
1995,Lord of Illusions,13.722,230,below_avg,Horror
1995,Lord of Illusions,13.722,230,below_avg,Fantasy
2020,32 Malasana Street,13.721,536,below_avg,Horror
2020,Becky,13.721,280,below_avg,Thriller
2020,Becky,13.721,280,below_avg,Crime
2020,Becky,13.721,280,below_avg,Horror
2008,College Road Trip,13.72,325,not_popular,Comedy
2008,College Road Trip,13.72,325,not_popular,Family
1985,The Sure Thing,13.72,208,average,Comedy
1985,The Sure Thing,13.72,208,average,Romance
1995,Crying Freeman,13.716,221,below_avg,Action
1995,Crying Freeman,13.716,221,below_avg,Crime
2018,The Man Who Killed Don Quixote,13.715,835,average,Adventure
2018,The Man Who Killed Don Quixote,13.715,835,average,Comedy
2018,The Man Who Killed Don Quixote,13.715,835,average,Drama
2018,The Man Who Killed Don Quixote,13.715,835,average,Fantasy
2003,A Guy Thing,13.715,267,not_popular,Comedy
2003,A Guy Thing,13.715,267,not_popular,Romance
1988,Hairspray,13.714,317,average,Comedy
1988,Hairspray,13.714,317,average,Drama
1988,Hairspray,13.714,317,average,Family
1988,Hairspray,13.714,317,average,Music
1988,Hairspray,13.714,317,average,Romance
2016,Nocturama,13.712,192,below_avg,Drama
2016,Nocturama,13.712,192,below_avg,Thriller
1977,Emanuelle in America,13.71,54,not_popular,Drama
1977,Emanuelle in America,13.71,54,not_popular,Mystery
2018,I Am Jonas,13.708,190,average,Drama
2018,I Am Jonas,13.708,190,average,Romance
2018,I Am Jonas,13.708,190,average,TV Movie
2013,The Trials of Cate McCall,13.708,209,below_avg,Drama
1999,Drive Me Crazy,13.708,263,below_avg,Drama
1999,Drive Me Crazy,13.708,263,below_avg,Comedy
1999,Drive Me Crazy,13.708,263,below_avg,Romance
2008,Ghost Town,13.708,753,below_avg,Comedy
2008,Ghost Town,13.708,753,below_avg,Fantasy
2008,Ghost Town,13.708,753,below_avg,Romance
1990,Look Who's Talking Too,13.708,1118,not_popular,Romance
1990,Look Who's Talking Too,13.708,1118,not_popular,Comedy
2017,About Love. Adults Only,13.707,29,below_avg,Romance
2017,About Love. Adults Only,13.707,29,below_avg,Comedy
2017,About Love. Adults Only,13.707,29,below_avg,Drama
2009,Post Grad,13.706,238,not_popular,Comedy
2009,Post Grad,13.706,238,not_popular,Drama
2009,An Education,13.706,1063,average,Drama
2009,An Education,13.706,1063,average,Romance
1980,The Big Brawl,13.706,131,below_avg,Action
1980,The Big Brawl,13.706,131,below_avg,Comedy
2011,Carnage,13.704,2388,popular,Comedy
2011,Carnage,13.704,2388,popular,Drama
2007,Ghost in the Shell: Stand Alone Complex - Solid State Society,13.704,183,popular,Animation
2007,Ghost in the Shell: Stand Alone Complex - Solid State Society,13.704,183,popular,Action
2007,Ghost in the Shell: Stand Alone Complex - Solid State Society,13.704,183,popular,Thriller
2007,Ghost in the Shell: Stand Alone Complex - Solid State Society,13.704,183,popular,Crime
2007,Ghost in the Shell: Stand Alone Complex - Solid State Society,13.704,183,popular,Science Fiction
1983,WarGames,13.704,1369,average,Action
2016,The Drowning,13.703,105,not_popular,Drama
2016,The Drowning,13.703,105,not_popular,Thriller
